"rb","Rank","Points","Risk","ADP","Vid","Notes"
"Jalen Richard OAK (7)","72","58.10","4.30","0.00","","Richard will enter 2018 behind Marshawn Lynch and Doug Martin. Although he has flashed a few times, especially in the receiving game, it’s going to hard for Richard to get on the field."
"Corey Grant JAC (9)","73","57.20","3.70","0.00","","Grant has always been an incredibly explosive player. The problem is he simply doesn’t get opportunity. The Jaguars did give him a 2nd round-tender to prevent other teams from poaching him. With Fournette and Yeldon in front of him on the depth chart, it’s not likely he sees a higher snap percentage than last year. If somehow he were to be involved in the game plan, he could become fantasy relevant."
"Jonathan Stewart NYG (9)","74","54.20","4.00","0.00","","It was not an efficient year by any means, but JStew showed he can still handle a heavy workload. The Giants agreed with that sentiment and grabbed him from free agency when Carolina cut him. Unfortunately, the Giants the preceded to use the 2nd overall pick on running back Saquon Barkley. JStew carries close to no fantasy value."
"Wayne Gallman NYG (9)","75","53.80","5.00","0.00","","Gallman actually had some success for the Giants late in the season. The team responded to that success by drafting a running back with the 2nd pick in the NFL Draft. Gallman’s fantasy value is DOA."
"Chase Edmonds ARI (9)","76","53.30","3.70","0.00","","Edmonds is an excellent running back. BUT, he’s behind David Johnson on the Cardinals depth chart. He’s unlikely to see any kind of meaningful touches unless DJ misses time. Edmonds is a high value handcuff with his well-rounded skills."
"Justin Jackson LAC (8)","77","45.20","6.50","0.00","","It’s going to be an uphill battle for Jackson, but he poses at least a threat to Austin Eckler as the Chargers backup running back. It’s a camp battle to watch."
"Samaje Perine WAS (4)","78","43.70","6.00","0.00","","Perine had a massive opportunity last year when starter Robert Kelley went down. Perine does not seem to listen to Eminem because he did not lose himself in the moment, or realize he may have just one chance to blow | Perine will now have another chance as rookie Derrius Guice tore his ACL. However, the Redskins have signed veteran Adrian Peterson. Perine will likely struggle to see much playing time behind Peterson and Rob Kelley."
"Robert Turbin IND (9)","79","34.70","6.30","0.00","","Bicep Bob still has a job with the Colts in spite of owning a 3.1YPC average since joining the team. The Colts seemed enamored with Turbin throughout last offseason, but he was atrocious before ending up on the IR. He will compete to be the early-down back, which does carry fantasy value."
"Jonathan Williams NO (6)","80","29.70","6.50","0.00","","Williams has had a roller coaster beginning of a career. A few years ago he was a hot dynasty commodity, then he was quickly out of the NFL. Well he’s back and he might just have a great opportunity to fill in for Mark Ingram in a starting role for the Saints. Keep an eye on him through the preseason as a sneaky sleeper candidate to start the year."
"Ameer Abdullah DET (6)","81","28.40","7.00","0.00","","Reports out of Detroit have Abdullah upset with his role and lack of touches last year. WELP! The Lions rewarded Abdullah’s performance by bringing in free agent Legarrette Blount, and moving up in the 2nd round to draft Kerryon Johnson. With Theo Riddick locked in as the pass catcher, it’s difficult to see any role for the derailed Abdullah Express."
"Bo Scarbrough DAL (8)","82","26.70","3.80","0.00","","First off, Bo needs to make the Dallas roster. As a 7th round pick, that’s not a lock by any means. If he does make the squad, he will be a high value handcuff behind Ezekiel Elliott. Alfred Morris was plenty productive when he was forced to fill in last year. The Cowboys line makes anyone running behind it and intriguing fantasy option."
"Cameron Artis-Payne CAR (4)","83","8.90","3.00","0.00","","CAP looked like he could turn into the thumper for the Panthers after the team cut Jonathan Stewart, but then they signed CJ Anderson. CAP has no fantasy value with a healthy Anderson on the team."
"James Conner PIT (7)","84","6.00","7.00","14.02","","He’s probably still the backup to Bell, but the Steelers did select Jaylen Samuels in the 5th round. Conner is a handcuff at best, or a waiver landmine at worst."
