"wr","Rank","Points","Risk","ADP","Vid","RP","Notes"
"Cole Beasley DAL (8)","68","104.68","3.30","0.00","","","Beware if you catch the Beasles this season. He’s a good NFL slot receiver but we don’t expect him to be much of a fantasy contributor. With Dez Bryant and Jason Witten gone, that’s 219 targets up for grabs. However, we expect new Cowboys WRs, Allen Hurns and Michael Gallup, to make an impact."
"Quincy Enunwa NYJ (11)","69","104.65","3.70","0.00","","","Enunwa showed flashes in 2016, leading the Jets (bad) offense with 857 receiving yards. He then missed all of 2017 with a neck injury, that required surgery, so needs to be monitored as the season nears. WRs Robby Anderson and Jermaine Kearse are still there, and they signed Terrelle Pryor this offseason."
"Rishard Matthews TEN (8)","70","103.48","6.70","0.00","","","Matthews could continue to be a value in fantasy drafts. 2nd year WR Corey Davis figures to take a big step forward, but if not, Matthews could be the biggest benefactor. In 2016, when Mariota and the Titans offense was much better, Matthews was close to 1000 yards and had 9 TDs. | UPDATE: Matthews is starting Training Camp on the PUP and his situation needs to be monitored."
"Geronimo Allison GB (7)","71","102.72","5.70","12.08","","","Without Jordy Nelson in Green Bay, that leaves DaVante Adams and Randall Cobb as the veteran receivers. While the Packers spent three picks (all 4th Round or later) on WRs in the 2018 NFL Draft. Still, Geronimo Allison has the chance to be the WR3 for Aaron Rodgers. That means he could certainly have a fantasy impact. He’s barely being drafted but could be a big waiver wire pickup at some point."
"John Ross CIN (9)","72","101.81","6.00","14.05","","","Ross did Nothing his rookie season, after being selected #9 overall in the 2017 NFL Draft. With elite WR A.J. Green still leading the way for the Bengals, his target share can only go so high. However, veteran WR Brandon LaFell has been released. If John Ross is healthy, he should have enough playing time to show what he can do and if he was worth such a high selection in last year's NFL Draft."
"Terrelle Pryor NYJ (11)","73","98.37","5.00","0.00","","","You might need to plug your nose… Terrelle Pryor is the reigning “Footie Award” Winner for Poopiest Pants of the Year. Pryor seemed to have pulled off the rare QB to WR transition, with some very big weeks for the Browns in 2016. After signing a 1-year “prove it” deal with the Redskins in 2017, hype and expectations grew to be through the roof. Pryor was a non-factor and he’s now on a 1-year, $4.5 million deal with the Jets. The Jets have had QB issues for the better part of the past decade. We’ll see if the 3rd overall pick in the 2018 NFL Draft, Sam Darnold, is the answer."
"Albert Wilson MIA (11)","74","98.11","5.70","0.00","","","Signed by the Dolphins in the offseason, there are Albert Wilson “truthers” out there, happy to see him leave the Chiefs. His season highs came in 2017 with 62 targets for 42 catches 554 yards and 3 TDs. Many targets left the Dolphins when Jarvis Landry signed with the Browns. Still, the Dolphins receiving corps has DeVante Parker, Kenny Stills, and Danny Amendola. | UPDATE: DeVante Parker is dealing with a broken finger and may not be ready for Week 1."
"Terrance Williams DAL (8)","75","98.08","5.00","0.00","","","Williams hasn’t ever been able to step up when Dez missed time. Even with Dez and Witten gone, Williams can’t be expected to be a reliable fantasy piece. They bring in Allen Hurns and drafted Michael Gallup in the 3rd Round. Now, Williams could miss time due to legal trouble."
"Anthony Miller CHI (5)","76","95.80","5.30","12.03","","","Miller is a favorite of many people who study collegiate wide receivers. He is a great route runner and is now going to a team focused on offense with a new coach and new offensive coordinator. That’s great news for a rookie being able to get involved. That being said, Miller will start out as the 3rd wide receiver at best on the depth chart behind their free agent acquisitions, Allen Robinson and Taylor Gabriel. He’s probably an unneeded draft pick in redraft and keeper formats."
"Martavis Bryant OAK (7)","77","94.87","6.30","14.08","","","For awhile, it was just off-the-field issues stopping Bryant from being a fantasy force. Last year it was rookie WR Juju Smith-Schuster. Bryant has been traded away from one of the most elite offenses in football to the Raiders. He’ll be the #2 or #3 option at wideout behind Amari Cooper. It’s hard to know what this offense will look like, and how much fantasy production it can provide. New head coach, Jon Gruden, has spoken of his desire to return to an old school offense with lots of running."
"Michael Gallup DAL (8)","78","94.09","5.70","11.10","","","Gallup has as good a path to WR1 status as any rookie wide receiver in this year’s draft. The Cowboys cut Dez Bryant, lost Bryce Butler, traded Ryan Switzer and replaced them with Allen Hurns, Michael Gallup, and (RB) Tavon Austin. That’s a much easier depth chart to rise to the top of. Gallup as a prospect is also very talented getting the seal of approval from Matt Harmon in part due to his 80% contested catch rate."
"Mike Wallace PHI (9)","79","93.68","5.00","0.00","","","He was the WR23 in 2016, topping 1000 receiving yards. However, he was the WR40 last season and hasn’t topped 4 TDs in the last 3 seasons. Now he joins the Eagles as the WR3, who have star Alshon Jeffery, and young wideout, Nelson Agholor. Turning 32 in August, he’s not expected to be much of a fantasy contributor in most leagues with Jeffery and Agholor in the lineup. | UPDATE: Reports say that Alshon Jeffery COULD begin the season on the PUP, missing six games. This could make Mike Wallace fantasy relevant once again."
"Dante Pettis SF (11)","80","92.84","5.30","0.00","","","Pettis is an example of where NFL teams like a player more than the consensus rankings prior to the draft. The 49ers traded up in the 2018 draft to nab their guy ahead of big names like James Washington and Christian Kirk. This should tell us something about the 49ers having a plan to use him. He might be more special teams focused in his rookie season, but the opportunity to step up with Jimmy G and Kyle Shanahan is not far away."
"Chad Williams ARI (9)","81","91.91","6.00","0.00","","","Larry Fitzgerald keeps doing his thing, and the Cardinals drafted WR Christian Kirk in the 2nd Round of this year’s NFL Draft. Chad Williams barely played for the Cardinals during his rookie 2017 season. It will take a big swing for him to become a fantasy factor in 2018."
"Cameron Meredith NO (6)","82","91.26","6.30","11.05","","","Meredith put up a receiving line of 66/888/4 in 2016 with the Bears in 14 games. While it’s not a massive stat line, he showed potential for a 2nd year WR, on a boring offense. He suffered a nasty preseason injury causing him to miss all of 2017. As he continues to recover, he’s not a lock to be ready for Week 1. The intriguing part is that he signed with the Saints. Meredith could be a sneaky value if healthy, playing on an elite offense."
"Brandon Marshall SEA (7)","83","89.70","7.70","0.00","","","Brandon Marshall had a terrible age 34 season with the Giants that ended in injury. Somewhat surprisingly he found a new home in Seattle which is a pretty decent landing spot. With Paul Richardson and Jimmy Graham gone, there is room for him to fit in. His best chance at fantasy success would come from soaking up red zone targets, but we put his probability of succeeding pretty low."
"Courtland Sutton DEN (10)","84","87.73","5.70","14.08","","","Sutton is a big bodied project who many had as their #1 wide receiver prospect heading into the draft. Ironically, he projects as Demaryius Thomas, the player who will ensure that Sutton has no value in 2018. Sutton will probably sit most of his rookie year but is a great pick in dynasty formats due to the contract situation of DT and Emmanuel Sanders."
"Chester Rogers IND (9)","85","85.17","4.00","0.00","","","Chester Rogers is in the mix with Ryan Grant for the WR2 role on the Colts. Early word out of training camp gives the edge to Grant. Still, if Andrew Luck stays healthy, both players could be fantasy relevant at times in 2018."
"James Washington PIT (7)","86","84.61","5.70","0.00","","","Washington is a beloved collegiate wide receiver (other than to Jason, who doesn’t think he’ll translate). There’s good news and bad news in his landing spot. First, Washington is sometimes thought of exclusively as a deep threat option which could be a bad thing if he had not gone to the Steelers where he can slide into the deep threat role vacated by Martavis Bryant. The bad news is that there is no doubt he is firmly locked behind Antonio Brown and Juju Smith-Schuster. It’s worth noting for dynasty owners that the Steelers also drafted Washington’s college QB, Mason Rudolph, as Big Ben’s eventual replacement."
"Christian Kirk ARI (9)","87","83.17","6.30","14.07","","","Kirk appears to be one of the most NFL ready wide receivers due to how well he worked out of the slot. Strangely, he goes to a team where there is zero chance to dethrone the current slot-king, Larry Fitzgerald. It could give Kirk a great opportunity to try the outside wide receiver role; or it could be great training environment for 2019. He’s a risky late round pick in redraft, but it could still pay off this season."
"Zay Jones BUF (11)","88","75.83","6.00","0.00","","","Zay Jones had a disgustingly bad rookie season. He followed that up with a viral video in the offseason of him going crazy due to some unnatural substances in his bloodstream. Then, he just recently had knee surgery and this comes after also having shoulder surgery. It has not been a good year for Jones. Unfortunately, the horizon doesn’t appear to be any brighter with A.J. McCarron and raw rookie, Josh Allen at QB. Zay Jones would need to take a major 2nd year leap to find fantasy success in 2018."
"Taylor Gabriel CHI (5)","89","73.59","4.00","0.00","","","Gabriel is part of the revamped Chicago Bears team. They added star WR, Allen Robinson, and used a 2nd Round NFL Draft pick on Anthony Miller. In his first 4 seasons, he never topped 36 receptions or 621 receiving yards. In the magical Falcons 2016 season, he found the end zone 6 times. If the Bears can find a way to use Gabriel, it could still be tough to predict when the big plays/games are coming."
"Corey Coleman BUF (11)","90","69.94","6.30","0.00","","","There is good news and bad news with Corey Coleman being traded to the Bills. On the positive side, he is no longer buried behind Landry, Gordon, and Duke Johnson on a Bills team that wasn’t expected to throw enough for Coleman to matter. Corey Coleman immediately becomes the 2nd best receiver for the Bills. That’s the bad news, the Bills do not project to be a high scoring team nor do they have a QB capable of making Coleman relevant. Overall, it’s a bump up for Coleman but probably not one that matters."
"Adam Humphries TB (5)","91","68.79","3.30","0.00","","","Pronounced with an ‘Umphries, Adam has long been a surprisingly valuable safety valve in the middle of the field for Jameis Winston. Unfortunately for him, the offense as a whole seems to have outgrown most of his services. With DeSean Jackson and more importantly, Chris Godwin, set to see more receptions in 2018, Humphries will be mostly an afterthought."
"Willie Snead BAL (10)","92","67.33","6.30","0.00","","","The Saints did Not have the “Need for Snead” in 2017 and beyond. He’s now a part of the Ravens receiving corps along with Michael Crabtree and John Brown. Joe Flacco has not been friendly to his wideouts in terms of fantasy production. Snead showed potential but that was with future Hall of Fame QB, Drew Brees. He may have weeks of fantasy relevance, but it may be hard to see them coming."
"J.J. Nelson ARI (9)","93","66.45","4.00","0.00","","","J.J. has been the benefactor over the last few years of injuries ahead of him, shallow depth charts, and a Bruce Arians system that valued the deep ball and speed more than anyone. Now, he has a new system, new coach, and new wide receivers to content for that starting job. It’s not out of the question that Nelson retains the starting outside role, but it’s equally no sure thing."
"Travis Benjamin LAC (8)","94","66.21","3.70","0.00","","","With Keenan Allen in the lineup, Benjamin had 34 catches for 567 yards, and 4 TDs last year. It’s hard to expect anything more than that."
"Kendall Wright MIN (10)","95","64.13","5.30","0.00","","","Wright could have the WR3/slot role for the Vikings in 2018. Clearly Thielen, Diggs, and Rudolph will command the majority of targets. Wright isn’t expected to be fantasy relevant in most leagues."
"Tyler Boyd CIN (9)","96","64.05","4.30","0.00","","","Hasn’t been much of a factor in the Bengals offense his first two seasons. The Bengals released veteran WR Brandon LaFell so this give Boyd a chance to show something. WR John Ross was drafted by the Bengals in the 1st Round last year so he'll compete with him for targets, with A.J. Green clearing getting his share no matter what."
"Jaron Brown SEA (7)","97","62.84","5.00","0.00","","","Brown leaves the Cardinals and signs with the Seahawks. It’s a longshot for him to be fantasy relevant behind Doug Baldwin and amongst Tyler Lockett and Brandon Marshall."
"Jeremy Kerley BUF (11)","98","62.06","6.00","0.00","","","Kerley is two seasons and one PED suspension away from his 115 target campaign. In general, Kerley is an uninspiring and entirely mediocre wide receiver, but he could benefit if the recent shoulder and knee surgeries keep Zay Jones down. Kerley could become the default WR2 for the Bills, but let’s be honest, people aren’t even clamoring to draft the WR1 in Buffalo."
"Tre'Quan Smith NO (6)","99","60.83","6.30","0.00","","","Smith landed in a great situation with Hall of Famer Drew Brees and a mediocre receiving core behind Michael Thomas and a hopefully-healthy Cameron Meredith. He has great speed for a player of his size (6’2” and 210lbs). He could eventually be the replacement for Ted Ginn Jr., but hopefully that comes before Drew Brees is gone. For now, he’s more of a dynasty draft pick and a wait and see prospect."
"Brice Butler ARI (9)","100","59.25","4.30","0.00","","","Butler signed with the Cardinals this offseason, leaving the Cowboys, where he made a few big plays. Larry Fitzgerald remains as the target hog, while the Cards used their 2nd Round pick this year on WR Christian Kirk. Downfield threat, J.J. Nelson remains, while Jaron Brown and John Brown are gone. Brice Butler is a fine late round sleeper pick as he is currently the WR2 on the Cardinals."
"Torrey Smith CAR (4)","101","50.33","4.70","0.00","","","Another new team for Torrey Smith. He hasn’t been fantasy relevant since 2014."
"Amara Darboh SEA (7)","102","46.41","4.30","0.00","","","Darboh was picked in the 3rd Round of the 2017 NFL Draft. Year after year we’ve seen that there’s only one consistent fantasy WR for Seattle, and that’s Doug Baldwin. TE JImmy Graham (10 TDs in 2017) and Paul Richardson are no longer in town, but with Baldwin, Lockett, and Marshall there, it’s a long shot that Darboh can become fantasy relevant in 2018."
"Laquon Treadwell MIN (10)","103","42.50","7.50","0.00","","","Was drafted in the 1st Round by the Vikings in 2016. He’s done basically nothing through two seasons. Meanwhile, Adam Thielen and Stefon Diggs have broken out. Maybe he needs the traditional three years in the NFL to get acclimated. However, it’s hard to imagine Treadwell being fantasy relevant in 2018… and maybe ever."
"Jakeem Grant MIA (11)","104","34.80","6.50","0.00","","","Jakeem “Mighty Mouse” Grant was pretty much uninvolved in the Dolphins plans until the final four games of last year. In those four games he put up a stat line of 10/188/2 to show a little bit of promise. With Jarvis Landry out of the way, Grant is perhaps worth a very late dynasty pick but nothing more until he establishes a role in season."
"D.J. Chark JAC (9)","105","31.21","4.30","0.00","","","Chark is fast. Like, one of the fastest in the world, fast. He wasn’t utilized enough at LSU due to them being such a run heavy team, but the NFL can usually find a place for those players who are on another level of athletic. That being said, he is a rather raw talent who has plenty to work on and is now buried on a deep depth chart in Jacksonville. He is only a DFS or dynasty candidate right now."
"Curtis Samuel CAR (4)","106","28.67","4.30","0.00","","","The Panthers selected Samuel in the 2nd Round in 2017. He’s a WR/RB gadget player, who dealt with injury his rookie season and didn’t have an impact."
"Breshad Perriman BAL (10)","107","26.80","8.30","0.00","","","Perriman was a first round draft pick who once showed promise. At this stage in his career his biggest hope is to just make the roster after the Ravens signed three new WRs. Perriman is someone you shouldn’t trust or draft until after he’s broken out. So probably never."
"Kevin White CHI (5)","108","26.35","7.50","0.00","","","After being selected as the 7th overall pick in the 2015 NFL Draft, Kevin White has been nothing but a bust. He missed the entire 2015 season due to injury, as played in 5 total games in 2016 & 2017. He’s also low on the Bears depth chart after bringing in free agents Allen Robinson and Taylor Gabriel, plus selecting Anthony Miller with pick 19 in the 2nd Round of the 2018 NFL Draft."
"Tavon Austin DAL (8)","109","18.07","4.30","0.00","","","The Cowboys traded for Austin this offseason. Their WR corps is thin, but Austin has only been disappointing since the Rams drafted him 8th overall in 2013. He was barely used by the Rams in 2017. His highest fantasy finish ever was the WR26 in 2015."
"Josh Reynolds LAR (12)","110","17.05","2.50","0.00","","","Fellow rookie WR on the Rams, Cooper Kupp, was the one who had a mini-breakout. He led the Rams in receiving yards with 869. Kupp was one of the red zone target leaders in the NFL. Still, Reynolds is much more of an outside receiver, and the Rams just brought in Brandin Cooks. Robert Woods is still there as well. We aren’t expecting much from Reynolds in 2018."
"Dez Bryant FA (-)","111","","5.00","0.00","","","Has Dez lost a step? Or two? Or three? Will he prove that the problem was Dak Prescott and not himself? Reception Perception results show that Bryant struggled to create separation in 2017. Yet, he’s out to prove that he still be a top wideout."
"Malcolm Mitchell NE (11)","111","","5.00","0.00","","","Mitchell showed flashes of talent and most importantly, a connection with Tom Brady in this 2016 rookie season. However, he missed all of 2017 with a knee injury, and is still working back from it. The Patriots traded away Brandin Cooks and let Danny Amendola walk, so that leaves Julian Edelman, Chris Hogan, Jordan Matthews; plus deeper guys like Cordarrelle Patterson, Phillip Dorsett and Kenny Britt. If healthy, Mitchell should be the WR3 or WR4 in this offense. There’s upside for anyone involved in the Pats offense, but as of now expectations are low. | UPDATE: Julian Edelman has been suspended for 4 games. Still, Mitchell's health is the first step to getting more playing time."
